zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,include
z3       ,698.1686447,1.058660034,702.9298538,7.539338833,718.1770829,30.76280567,no
z28      ,713.5239139,1.523467312,713.3566771,8.494275279,712.8305011,34.25005453,no
z33      ,717.9891652,1.425866636,717.290791,5.337895575,715.1067692,21.03010228,yes
z2       ,718.8992264,2.411343866,720.5340467,19.52017379,725.6269483,78.43687788,yes
z16      ,719.4102322,1.198856817,724.3994275,9.228346632,739.8747937,36.84119874,yes
z12      ,719.7977664,0.825237646,719.149609,5.895356208,717.1281538,23.70566884,yes
z39      ,719.8016241,2.208116652,722.9610525,4.369449283,732.774404,16.21744355,yes
z41      ,719.9216113,1.573196993,724.7825731,7.575927399,739.850922,29.88498538,yes
z38      ,719.9819782,1.231667079,723.0973631,8.125037304,732.7718005,32.38825356,yes
z11      ,720.6476365,1.197941176,723.9504818,8.479463963,734.194967,33.84466048,yes
z37      ,721.6142075,5.187590747,725.1292046,6.942829767,736.0137941,22.85064779,no
z43      ,722.0083275,1.357617247,724.1447871,3.61978759,730.7664785,13.6851498,no
z13      ,728.0004436,3.070230621,737.024512,23.83959823,764.5489078,93.61910912,no
z40      ,731.1086883,1.264729964,734.2964725,5.74164059,744.0354072,22.50284669,no
z7       ,745.5109674,2.634397529,752.6427385,17.05631824,773.8981782,65.69135673,no
z30      ,764.1049874,4.539377617,761.3238014,29.95986583,753.1666681,114.9492892,no
z24      ,776.191402,0.894376126,775.9576203,3.055805088,775.2850619,11.2241338,no
z15      ,785.0284365,1.754983621,786.2621614,5.450812768,789.7637537,19.85590283,no
z36      ,789.88027,4.293801331,792.2480963,7.192620445,798.9171438,24.50677704,no
z6       ,792.6739425,2.02617571,795.9706182,11.71040009,805.2125913,43.17171722,no
z27      ,801.9088298,2.329614277,806.6410728,8.636636048,819.7269522,31.13759164,no
z9       ,806.1373127,0.7860416,805.688364,5.523620017,804.4476699,20.30740925,no
z17      ,814.1552645,3.153465378,826.227948,22.56263843,858.8516715,80.7345735,no
z35      ,820.8126475,7.671231458,834.2640958,19.94425924,870.2557573,68.22028156,no
z10      ,824.5303833,3.784447458,839.3640271,28.32589344,878.8144753,100.2764376,no
z4       ,833.9234954,1.065204782,837.0069299,5.569270849,845.1981129,19.70521882,no
z14      ,844.4903339,22.89163448,930.5681876,159.223726,1140.427335,506.4692458,no
z8       ,845.4569428,1.419452257,848.9130167,9.992445458,857.9575022,35.22973207,no
z20      ,864.9651078,1.070838229,864.9761582,5.986424397,865.004469,20.66575159,no
