zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,786.36,0.57,787.29,0.8,789.9,1,1.07,0.45,yes
z2      ,785.57,0.35,786.27,0.4,788.3,0.9,0.77,0.34,no
z3      ,787.15,0.54,787.72,0.7,789.3,1.5,0.86,0.28,yes
z4,786.43,0.27,786.58,0.3,787,0.7,0.91,0.07,yes
z5,786.91,0.56,787.23,0.7,788.1,1.6,0.87,0.16,yes
z6,788.17,0.26,788.72,0.4,790.3,1.1,0.61,0.27,yes
z7,787.37,0.46,787.74,0.6,788.8,1.3,0.86,0.18,yes
z8,787.86,0.42,787.95,0.6,788.2,1.3,0.86,0.05,yes
z9,789.39,0.38,788.98,0.4,787.8,1.4,0.53,-0.2,no
z10,777.79,0.28,780.83,0.3,789.5,1,0.64,1.49,no
