zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,788.92,0.79,788.82,1.3,788.8,4.1,0.55,-0.01,yes
z2      ,788.81,0.73,789.33,2,791,7.1,0.3,0.29,yes
z3      ,788.69,0.4,788.5,0.4,788.2,1,0.78,-0.05,yes
z4,787.99,0.71,788,1.1,788.2,3.5,0.58,0.04,yes
z5,793.31,0.75,791.67,0.8,787.3,2,0.75,-0.75,no
z6,789.09,0.71,788.99,0.8,788.9,1.8,0.82,-0.01,yes
z7,786.65,0.36,787,0.4,788.2,1.1,0.68,0.21,no
z8,789.98,0.46,789.66,0.6,789,2,0.51,-0.11,no
z9,789.65,0.47,789.34,0.6,788.7,1.8,0.66,-0.11,no
z10,788.83,0.56,789.11,1.6,790.1,5.6,0.36,0.17,yes
