zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,include
z18      ,734.0140062,0.411947956,734.5078896,0.665965062,736.014672,1.772481941,no
z20      ,735.0130418,0.60482818,736.2582003,0.881297779,740.0485558,2.258260366,yes
z19      ,735.1779054,0.42591015,735.4973012,0.925148938,736.4702803,3.073285452,yes
z15      ,735.2047697,0.864337411,736.2829773,0.988365633,739.5647877,2.556734475,yes
z25      ,735.4057359,0.477009969,736.0514322,0.714791092,738.0171022,1.799329204,yes
z17      ,735.4311078,0.688632529,736.6151373,1.169362124,740.217466,3.942099377,yes
z12,735.8996491,0.93198023,736.2339481,0.986619589,737.2512492,2.320483151,no
z22      ,736.0673265,1.175300479,737.2468173,1.877697547,740.8320591,6.559707634,no
z23      ,736.1898266,0.610446087,738.4151942,2.186043232,745.1709321,8.307855096,no
z21      ,736.2694598,0.447099543,736.3310779,0.647015026,736.5185406,1.605415497,no
z24      ,738.8755614,1.189501273,742.6460824,8.803116443,754.0300626,34.41067845,no
