zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z1      ,815.63,0.64,815.47,0.7,815.3,1.6,0.83,-0.03,yes
z2      ,816.92,0.61,817.48,1.2,819.2,3.8,0.54,0.29,no
z3      ,819.65,0.82,819.22,3.5,818.3,12.6,0.25,-0.16,no
z4,818.5,1.27,817.14,3.7,813.7,12.5,0.46,-0.58,no
z5,814.98,1.09,814.03,1.5,811.7,4.5,0.59,-0.4,yes
z6,815.08,0.57,816.25,1.1,819.7,3.7,0.49,0.57,yes
z7,817.29,0.53,818.9,2.1,823.5,7.4,0.39,0.77,no
z8,810.07,0.66,812.41,2.4,819.1,8.4,0.31,1.11,no
z9,815.26,0.93,815.99,4.1,818.2,15,0.24,0.37,yes
z10,816.5,0.56,815.74,1.6,813.9,5.5,0.46,-0.31,no
z11,815.37,0.66,816.17,1.5,818.6,5.1,0.44,0.4,yes
