zircon,207Pb/206Pb,207Pb/206Pb_2sigma,207Pb/235U,207Pb/235U_2sigma,206Pb/238U,206Pb/238U_2sigma,sample,include
z1,714.08,3.4,716.54,0.99,717.32,0.39,F837B,yes
z2,717.86,1.1,716.88,0.5,716.57,0.38,F837B,no
z3,716.35,1.7,717.2,0.58,717.47,0.36,F837B,yes
z4,715.05,3.2,716.57,0.94,717.06,0.39,F837B,yes
z5,716.61,1.5,717.2,0.54,717.39,0.32,F837B,yes
z6,716.92,0.9,717.31,0.45,717.44,0.33,F837B,yes
z7,716.24,2,717.78,0.67,718.28,0.35,F837B,no
z8,714.4,2.6,716.97,0.81,717.79,0.44,F837B,yes
z9,714.96,2.8,716.94,0.84,717.57,0.36,F837B,yes
z10,715.98,2.5,717.62,0.78,718.14,0.39,F837B,no
z3,712.65,3.2,713.77,0.97,714.12,0.48,F840A,no
z5,713.99,1.8,712.27,0.64,711.72,0.4,F840A,no
z6,710.95,6.6,714.83,1.77,716.07,0.46,F840A,yes
z8,775.51,8,741.11,2.37,729.78,1.19,F840A,no
z9,713.66,1.8,705.06,0.62,702.37,0.37,F840A,no
z10,713.59,1.9,614.21,0.61,587.6,0.42,F840A,no
z21,716.45,4.4,716.85,1.3,716.98,0.64,F840A,yes
z22,718.84,3.4,712.88,0.99,710.99,0.35,F840A,no
z23,717.05,2.9,714.94,0.86,714.27,0.34,F840A,no
z24,715.98,4.9,716.68,1.4,716.9,0.6,F840A,yes
z25,711.76,6.8,715.23,1.87,716.34,0.58,F840A,yes
z28,720.53,7.5,717.64,2.11,716.72,0.9,F840A,yes
z29,718.7,6.8,715.18,1.85,714.05,0.43,F840A,no
z30,717.22,8,716.56,2.16,716.35,0.51,F840A,yes
z1,812.08,0.9,807.63,0.47,806.01,0.36,F834_147.5,no
z2,805.29,1.1,784.08,0.49,776.65,0.34,F834_147.6,no
z3,809.65,1.5,811.05,0.6,811.56,0.38,F834_147.7,yes
z4,1384.53,1.3,1339.55,0.91,1311.57,0.98,F834_147.8,no
z5,806.56,1.3,790.62,0.54,784.98,0.35,F834_147.9,no
z6,808.7,4.2,810.79,1.38,811.55,0.71,F834_147.10,yes
z8,808.34,4.8,810.6,1.55,811.43,0.79,F834_147.11,yes
z9,808.44,2.4,810.65,0.85,811.45,0.43,F834_147.12,yes
b1,727.02,11.8,715.91,3.27,712.37,1.19,S8,no
b2,723.18,7.8,718.26,2.21,716.68,0.88,S8,yes
b4,728.16,10,719.14,2.8,716.26,1,S8,yes
b5,720.28,30.8,716.49,8.34,715.29,2.24,S8,yes
b6,718.25,8.2,716.78,2.36,716.31,1.15,S8,yes
b7,711.93,18.3,713.36,4.82,713.82,1.68,S8,no
b8,716.4,34.8,715.52,9.42,715.24,2.74,S8,yes
