sample,zircon,include,207Pb/206Pb,207Pb/206Pb_2sigma,207Pb/235U,207Pb/235U_2sigma,206Pb/238U,206Pb/238U_2sigma
93JP-71JB,z1,yes,718.94,1.54,719.18,0.69,719.26,0.45
93JP-71JB,z2,yes,711.88,9.63,717.16,2.61,718.85,0.73
93JP-71JB,z3,yes,711.02,7.51,716.90,2.07,718.79,0.60
93JP-71JB,z4,no,718.31,23.20,718.46,6.39,718.51,2.81
93JP-71JB,z5,yes,724.03,1.91,720.41,0.84,719.25,0.65
93JP-71JB,z6,no,729.97,98.06,720.98,24.82,718.09,3.55
93JP-71JB,z7,no,708.50,38.94,715.19,10.44,717.33,4.10
93JP-71JB,z8,no,715.13,31.48,717.92,8.32,718.82,2.43
93JP-71JB,z9,yes,722.34,8.21,719.94,2.24,719.17,0.71
93JP-71JB,z10,yes,721.14,2.04,719.37,0.79,718.81,0.45
93JP-71JB,z11,yes,719.86,4.54,719.27,1.36,719.08,0.57
93JP-71JB,z12,yes,728.51,5.92,721.32,1.70,719.01,0.67
93JP-71JB,z13,yes,720.35,1.44,719.38,0.68,719.08,0.48
93JP-93K,z1,yes,718.79,9.56,718.55,2.64,718.48,0.92
93JP-93K,z2a,no,721.06,4.16,713.91,1.25,711.64,0.55
93JP-93K,z2b,no,724.14,3.02,718.23,0.99,716.33,0.47
93JP-93K,z3,no,725.12,19.53,719.48,5.16,717.67,1.01
93JP-93K,z4,yes,723.59,17.63,719.37,4.64,718.01,1.16
93JP-93K,z5,no,720.81,3.71,716.17,1.19,714.69,0.66
93JP-93K,z6a,no,723.33,2.44,718.33,0.87,716.73,0.47
93JP-93K,z6b,no,720.58,4.25,709.73,1.26,706.31,0.54
93JP-93K,z7a,yes,723.23,1.83,719.94,0.73,718.88,0.45
93JP-93K,z7b,yes,719.24,1.90,718.95,0.75,718.86,0.47
93JP-93L,z1,yes,721.41,2.67,719.54,0.94,718.94,0.54
93JP-93L,z2,yes,688.21,41.84,710.12,10.69,717.07,1.81
93JP-93L,z3,yes,721.23,9.35,718.96,2.58,718.23,0.89
93JP-93L,z4,yes,721.90,2.24,719.96,0.82,719.33,0.46
93JP-93L,z5,yes,721.32,1.39,719.53,0.66,718.95,0.47
93JP-93L,z7,yes,720.52,12.94,719.71,3.46,719.45,0.88
93JP-93L,z8,yes,720.85,4.09,719.48,1.30,719.04,0.71
93JP-93L,z9,yes,725.33,16.57,720.07,4.41,718.38,0.94
93JP-93L,z10,yes,727.27,9.25,720.09,2.58,717.79,1.12
93JP-93L,z13,yes,718.26,3.00,719.08,1.06,719.34,0.68
93JP-93L,z14,no,720.06,2.10,717.38,0.92,716.53,0.77
93JP-93L,z15,no,717.58,3.10,716.29,1.22,715.88,0.73
93JP-93L,z16,yes,717.27,8.37,718.51,2.30,718.90,0.79
17RAT-R35B1,z1,no,716.03,4.45,717.44,1.38,717.90,0.75
17RAT-R35B1,z2,no,714.57,8.43,717.35,2.32,718.24,0.76
17RAT-R35B1,z3,yes,725.26,3.51,721.31,1.13,720.04,0.55
17RAT-R35B1,z4,no,720.67,3.40,722.43,1.07,723.00,0.52
17RAT-R35B1,z5,yes,723.39,2.24,720.88,0.86,720.08,0.52
17RAT-R35B1,z6,no,719.97,8.76,718.43,2.41,717.94,0.71
17RAT-R35B1,z7,yes,720.87,2.66,719.88,0.91,719.57,0.50
17RAT-R35B1,z8,no,724.77,4.74,720.50,1.39,719.13,0.52
17RAT-R35B1,z10,yes,716.20,3.50,718.73,1.14,719.54,0.61
17RAT-R35B1,z11,no,714.92,2.83,717.95,1.00,718.93,0.63
17RAT-R35B1,z12,no,720.72,1.81,719.50,0.75,719.10,0.46
17RAT-R35B1,z13,yes,721.24,2.93,720.60,0.97,720.39,0.49
17RAT-R35B1,z14,no,721.33,2.31,718.58,0.85,717.70,0.54
17RAT-R35B1,z15,no,722.09,2.14,719.55,0.81,718.73,0.50
17RAT-R35B1,z16,yes,722.13,2.93,720.10,1.00,719.45,0.51
14RAT-513A,z1,yes,725.53,7.78,719.83,2.20,718.00,0.84
14RAT-513A,z2,yes,730.76,21.96,722.48,5.75,719.82,2.26
14RAT-513A,z3,yes,705.34,49.78,714.09,12.87,716.87,2.30
14RAT-513A,z5,no,720.60,5.72,717.20,1.77,716.11,1.08
14RAT-513A,z6,yes,717.38,4.80,717.90,1.44,718.07,0.67
14RAT-513A,z8,yes,727.65,6.10,720.49,2.09,718.19,1.65
14RAT-513A,z13,yes,722.69,2.04,720.20,0.77,719.41,0.47
14RAT-513A,z14,yes,722.65,2.30,718.67,1.18,717.39,1.21
14RAT-513A,z15,yes,723.37,4.10,721.16,1.91,720.45,2.01
14RAT-513A,z17,yes,715.87,5.62,717.42,1.68,717.91,0.89
F1966,z1,no,722.11,1.68,719.21,0.76,718.28,0.58
F1966,z2,no,713.37,10.54,715.48,2.83,716.15,0.77
F1966,z3,no,718.38,15.01,716.99,4.01,716.55,0.93
F1966,z4,no,719.76,2.57,718.54,0.90,718.16,0.53
F1966,z5,yes,719.53,1.70,718.96,0.71,718.78,0.45
F1966,z6,no,719.19,1.97,718.07,0.76,717.72,0.45
F1966,z7,yes,724.42,3.30,720.34,1.08,719.03,0.51
F1966,z8,no,719.64,2.51,721.27,0.90,721.80,0.47
F1966,z9,no,721.24,3.34,718.30,1.14,717.36,0.75
F1966,z10,yes,720.03,1.43,719.45,0.66,719.26,0.44
F1966,z11,yes,720.74,1.75,719.70,0.76,719.37,0.45
F1966,z12,yes,724.25,7.06,720.80,2.15,719.69,1.27
F1966,z13,no,719.59,2.59,718.43,0.87,718.06,0.46
F1966,z14,no,718.76,1.82,720.90,0.73,721.59,0.45
F1966,z15,no,719.62,3.30,720.06,1.07,720.20,0.53
F1966,z16,no,720.77,2.14,718.80,0.80,718.17,0.47
F1966,z17,yes,725.46,6.49,720.25,1.83,718.57,0.73
F1966,z18,no,722.88,4.07,718.40,1.27,716.97,0.65
