zircon,206Pb/238U,206Pb/238U_2sigma_perc,207Pb/235U,207Pb/235U_2sigma_perc,207Pb/206Pb,207Pb/206Pb_2sigma_perc,corr_coeff,include
z19,851.9,0.65,855.07,1,863.3,0.77,0.675,no
z15,756.13,0.05,759.36,0.09,768.8,0.08,0.549,no
z4,715.11,0.32,718.69,0.58,729.9,0.47,0.602,no
z31,711.65,0.08,712.35,0.12,714.6,0.08,0.694,yes
z30,711.5,0.07,712.21,0.1,714.5,0.07,0.671,yes
z29,711.6,0.07,712.13,0.11,713.9,0.08,0.677,yes
z27,711.53,0.07,712.06,0.1,713.9,0.07,0.704,yes
z32,711.4,0.06,711.76,0.09,712.9,0.06,0.678,yes
z26,710.71,0.07,711.37,0.12,713.5,0.09,0.636,no
z25,708.26,0.05,709.65,0.08,714.1,0.06,0.664,no
z24,705.17,0.12,707.25,0.14,713.9,0.06,0.891,no
z8,703.3,0.11,706.12,0.18,715.1,0.14,0.621,no
z10,700.44,0.12,703.79,0.21,714.5,0.17,0.656,no
z18,710.87,0.23,702.88,0.36,706.1,0.27,0.665,no
z7,697.88,0.09,710.53,0.13,713.3,0.1,0.668,no
z1,694.29,0.16,699.31,0.22,715.4,0.14,0.756,no
z14,691.8,0.37,697.5,0.41,715.9,0.18,0.904,no
z11,687.7,0.16,693.37,0.23,711.8,0.15,0.738,no
z3,681.68,0.08,688.92,0.1,712.6,0.07,0.765,no
z13,680.89,0.28,688.27,0.36,712.5,0.21,0.815,no
z16,653.04,0.08,666.1,0.12,710.5,0.08,0.736,no
z12,635.17,0.11,651.9,0.19,710.3,0.15,0.625,no
z20,631.71,0.92,651.02,1.2,718.6,0.75,0.789,no
z6,570.35,0.18,597.47,0.33,701.8,0.26,0.618,no
