X,Y,#,Region,Lat(°N),Long(°E),Formation,Max_Thickn,PlateID,references,field_9,field_10,field_11,field_12,field_13,field_14,field_15
-144.5,69.5,"1",N Slope Alaska,69.500000000000000,-144.500000000000000,Hula Hula,,"103","Macdonald, 2009",,,,,,,
-138,65,"2",Oglivie Mtns,65.000000000000000,-138.000000000000000,Lower Mt. Harper Gp,,"162","Macondald et al. 2010; Halverson et al. 2012",,,,,,,
-130,64,"3",Mackenzie Mtns,64.000000000000000,-130.000000000000000,Rapitan,,"162","Aitken, 1991; Narbonne et al., 1994",,,,,,,
-121,54.5,"4",Canadian Rockies,54.500000000000000,-121.000000000000000,Vreeland,,"162","Ross et al., 1995; McMechan et al. 2000; Smith et al. 2011",,,,,,,
-117,49.5,"5",BC/Washington,49.500000000000000,-117.000000000000000,Toby,,"162","Smith et al., 2011",,,,,,,
-112,42.5,"6",Central Idaho,42.500000000000000,-112.000000000000000,Scout Mtn,,"162","Christie-Blick, 1982; Link et al., 1994; Lund et al., 2003, 2010",,,,,,,
-112.5,40.5,"7","SE Idaho, Utah",40.500000000000000,-112.500000000000000,Pocatello Fm,,"162","Crittendon et al., 1971; Christie-Blick, 1982; Link and Christie-Blick, 2011; Dehler et al., 2010",,,,,,,
-116.5,36.0,"8",Death Valley,36.000000000000000,-116.500000000000000,Limekiln Spring/Surprise,,"101","Miller, 1985; Prave, 1999; Corsetti and Hagadorn, 2000; Pettersen et al., 2011",,,,,,,
-80,37.5,"9",Konnarock/Grandf. Mtn,37.500000000000000,-80.000000000000000,Konnarock/Grandf Mtn/Mechum River,,"101","Aleinikoff et al., 1995; Miller, 1994; Bailey and Peters, 1998; Simpson+Erikkson, 1989; shallow marine environment for 720 Ma based on Mechum River (Konarrock interpreted as lacustrine)",,,,,,,
-6.5,55.5,"10",Dalradian,55.500000000000000,-6.500000000000000,Port Askaig,,"303","Prave et al., 2009; Prave and Fallick, 2011",,,,,,,
-24,73,"11",East Greenland,73.000000000000000,-24.000000000000000,Ulvesø,,"102","Hambrey and Spencer, 1987; Sønderholm and Tirsgaard, 1993; Hoffman et al., 2012",,,,,,,
18.0,79.5,"12",East Svalbard,79.500000000000000,18.000000000000000,Petrovbreen Mb.,,"311","Harland et al., 1993; Halverson et al., 2005; Hoffman et al., 2012; Stouge et al., 2011",,,,,,,
59.0,58.5,"13",C Urals,58.500000000000000,59.000000000000000,Tany,,"302","Maslov, 2000; Chumakov 2011a",,,,,,,
72,44,"14",West Altaids (central Kazakhstan),44.000000000000000,72.000000000000000,Satan/Dzhetym,,"459","Chumakov, 2009; Levashova et al., 2011; Meert et al., 2011",,,,,,,
96,47,"15",East Altaids,47.000000000000000,96.000000000000000,Maikhan Ul Mb,,"432","Macdonald et al., 2009b",,,,,,,
100,51,"16",East Sayan/Khubsugul (N Mongolia),51.000000000000000,100.000000000000000,lower Ongoluk Fm,,"432","Macdonald and Jones, 2011",,,,,,,
117,60,"17",Patom,60.000000000000000,117.000000000000000,Kharluktakh,,"401","Chumakov, 2009; Chumakov et al., 2011; Melezhik et al. 2009",,,,,,,
79.5,41.0,"18",West Tarim (Aksu),41.000000000000000,79.500000000000000,Qiaoenbrak Fm,,"480","Gao and Qian, 1985; Yao et al. 2005; Xu et al. 2009; Zhang et al. 2009a, 2009b; Turner 2010",,,,,,,
87.5,41.5,"19",East Tarim (Quruqtagh),41.500000000000000,87.500000000000000,Bayisi Fm,,"480","Xiao et al. 2004; Yao et al. 2005; Xu et al. 2009; Zhang et al. 2007",,,,,,,
111,27,"20",South China (Yangtze),27.000000000000000,111.000000000000000,Chang'an Fm,,"60202","Liu, 1991; Li et al., 2003; Wang and Li, 2003; Zhang et al., 2005",,,,,,,
58,23,"21",Oman (Jebel Akhdar),23.000000000000000,58.000000000000000,Ghubrah Fm,,"50300","Leather et al., 2001; Amthor et al., 2003; Le Guerroué et al., 2005; Fike et al., 2006",,,,,,,
55.0,17.5,"22",Oman (Mirbat),17.500000000000000,55.000000000000000,Ayn Fm,,"50300",Rieu et al. 2006,,,,,,,
38,26,"23",NW Arabian shield,26.000000000000000,38.000000000000000,Nuwaybah,,"50309","Johnson, 2006; Ali et al., 2010; Stern et al., 2011",,,,,,,
39,14,"24",N. Ethiopia,14.000000000000000,39.000000000000000,Matheos Fm,,"50314",Miller et al. 2011,,,,,,,
35,26,"25",NE Egypt,26.000000000000000,35.000000000000000,Atud?,,"50311","Ali et al., 2010; Be'eri-Schlevin et al. 2011; Stern et al., 2011",,,,,,,
129,-17,"26",East Kimberley,-17.000000000000000,129.000000000000000,Fargoo,,"80101","Corkeron, 2011",,,,,,,
134,-23,"27",Amadeus Basin,-23.000000000000000,134.000000000000000,Areyonga,,"80101","Walter et al., 1995; Swanson Hysell et al., 2010; Hill et al., 2011",,,,,,,
124,-25,"28",West Officer Basin,-25.000000000000000,124.000000000000000,Pirrilyungka Fm,,"80100","Grey et al., 2005; Haines et al., 2008; Hill et al., 2011",,,,,,,
134,-27,"29",East Officer Basin,-27.000000000000000,134.000000000000000,Chambers Bluff,,"80100","Zang, 1995; Grey et al., 2005",,,,,,,
139,-32,"30",Flinders Ranges,-32.000000000000000,139.000000000000000,Sturtian,,"80100","Preiss, 2000",,,,,,,
141.5,-31.5,"31",Broken Hill,-31.500000000000000,141.500000000000000,Yancowinna Subgp,,"80100","Young, 1992; Crawford et al., 1997; Scheibner and Basden, 1998",,,,,,,
145,-41,"32",Tasmania,-41.000000000000000,145.000000000000000,Julius River,,"80103","Calver, 2011",,,,,,,
17.5,-23.5,"33",S Damara belt,-23.500000000000000,17.500000000000000,Blaubeker/Court,,"70110","Germs, 1995; Prave et al., 2011",,,,,,,
16.5,-28.5,"34",Gariep belt external,-28.500000000000000,16.500000000000000,Numees,,"70110","Fölling and Frimmel, 1992; Macdonald et al., 2010c; Germs, 1995",,,,,,,
27,-11,"35",Copperbelt,-11.000000000000000,27.000000000000000,Grand Conglomérat,,"70100","Wendorff and Key, 2009",,,,,,,
35,-13,"36",N. Mozambique,-13.000000000000000,35.000000000000000,Geci Gp,,"70106","Pinna et al. 1993; Melezhik et al. 2006",,,,,,,
29,-2,"37",Kivu,-2.000000000000000,29.000000000000000,Kivo,,"70100",Cahen 1982,,,,,,,
31.5,1.5,"38",Bunyoro,1.500000000000000,31.500000000000000,Bunyoro,,"70100",Bjørlykke 1973,,,,,,,
24,3,"39",Oubanguides,3.000000000000000,24.000000000000000,Akwokwo/Bandja,,"70100","Tait et al., 2011",,,,,,,
-38,-11,"40",Sergipano belt,-11.000000000000000,-38.000000000000000,Ribeirópolis Fm,,"20600","D'el-Rey Silva, 1999; Misi et al., 2007, 2011; Oliveira et al., 2010; Caxito et al., 2012",,,,,,,
-47,-17.5,"41",Vazante nappe,-17.500000000000000,-47.000000000000000,St.Antônio do Bonito Fm,,"20600","Azmy et al., 2006; Olcott et al., 2009; Sial et al., 2009; Misi et al., 2011; Alkmim and Martins-Neto, 2011",,,,,,,
-44,-17,"42",Bambuí autochthon,-17.000000000000000,-44.000000000000000,lower Sete Lagoas,,"20600","Caxito et al., 2012; Misi et al., 2007; Uhlein et al., 2007; Alkmim and Martins Neto, 2011",,,,,,,
-42,-17,"43",Araçuaí belt,-17.000000000000000,-42.000000000000000,Macaúbas,,"20600","Santos et al., 2004; Pedrosa-Soares et al., 2011; Pedrosa-Soares and Alkmim, 2011",,,,,,,
-39.5,-15.5,"44",Rio Pardo area,-15.500000000000000,-39.500000000000000,Panelinha Fm,,"20600","Sial et al., 2009; Pedreira, 1999; Rosa et al., 2007",,,,,,,
14,-5,"45",West Congo belt,-5.000000000000000,14.000000000000000,Diamctite Inférieure,,"70100","Tack et al. 2001, Frimmel et al., 2006; Tait et al., 2011",,,,,,,
16,-21,"46",N. Damara belt,-21.000000000000000,16.000000000000000,Chuos Fm,,"70109","Hedberg, 1979; Hoffman and Prave, 1996; Hoffman and Halverson, 2008; Hoffman, 2011",,,,,,,
-9,15,"47",Hodh (western Taodeni),15.000000000000000,-9.000000000000000,Bakoyo Gp?,,"71400","Deynoux et al., 1991, 2006",,,,,,,
2.0,22.5,"48",Western Hoggar,22.500000000000000,2.000000000000000,Série Verte (Tafeliant),,"71405","Caby and Fabre, 1981a; Deynoux et al., 2006;",,,,,,,
8.5,21.0,"49",Eastern Hoggar,21.000000000000000,8.500000000000000,Série Tirririne,,"71408","Caby and Fabre, 1981b; Caby, 2003",,,,,,,
-75,-15.5,"50",Marcona,-15.500000000000000,-75.000000000000000,San Juan,,"20102","Chew and Kirkland, 2011",,,,,,,
-55,-34.5,"51",Nico Perez terrane,-34.500000000000000,-55.000000000000000,Zanja del Tigre,,"20605","Poiré and Gaucher 2009; Gaucher and Poiré 2009",,,,,,,
-58,-38,"52",Tandil Hills,-38.000000000000000,-58.000000000000000,Colombo Fm,,"20608","Poiré and Gaucher 2009; Gaucher and Poiré 2009",,,,,,,
