Sites,Decl,Incl,a-95 (°),n,k,site_lat,site_lon_w,site_lon_e,reference,unit,polarity,pole_lat,pole_lon,pole_lat_rot,pole_lon_rot,plate_ID
1  200 Oe,260,-1,5,4,189,67.9,243.2,-116.8,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,r,-3,161,-3,161,101
2  100 Oe,259,10,5,4,217,67.9,245.5,-114.5,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,r,1,170,1,170,101
3  200 Oe,262,33,2,5,569,67.5,241.8,-118.2,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,n,13,166,13,166,101
4  150 Oe,264,43,6,5,124,67.4,242,-118,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,n,21,177,21,177,101
5  250 Oe,264,14,13,3,28,67.2,247.6,-112.4,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,n,4,166,4,166,101
6  250 Oe,266,23,4,4,319,67.8,248.4,-111.6,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,n,10,167,10,167,101
7  250 Oe,272,43,2,4,1018,67.5,250.2,-109.8,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,n,24,168,24,168,101
8  250 Oe,270,20,3,4,664,67.4,251.5,-108.5,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,n,10,165,10,165,101
9  250 Oe,280,48,6,3,138,66.7,251.8,-108.2,Fahrig et al. 1971,Coronation+Bathurst sheets and dikes,n,30,165,30,165,101
10  300 Oe,273,-5,8,6,68,70.9,284.5,-75.5,Fahrig et al. 1971,Baffin dikes,n,-1,191,-1,191,101
11  500 Oe,277,-21,25,6,8,71.1,283.7,-76.3,Fahrig et al. 1971,Baffin dikes,n,-8,184,-8,184,101
13  200 Oe,307,-24,5,7,133,70.8,284.2,-75.8,Fahrig et al. 1971,Baffin dikes,n,-1,155,-1,155,101
18  300 Oe,296,-26,12,5,64,71.4,282.4,-77.6,Fahrig et al. 1971,Baffin dikes,n,-5,164,-5,164,101
19  500 Oe,298,-26,5,5,200,71.3,282.5,-77.5,Fahrig et al. 1971,Baffin dikes,n,-4,162,-4,162,101
20  200 Oe,301,-7,8,6,78,71.2,281.6,-78.4,Fahrig et al. 1971,Baffin dikes,n,6,161,6,161,101
21  400 Oe,303,-22,14,6,24,69.9,289.7,-70.3,Fahrig et al. 1971,Baffin dikes,n,-1,165,-1,165,101
23  400 Oe,288,-5,15,5,41,69.8,288.8,-71.2,Fahrig et al. 1971,Baffin dikes,n,4,181,4,181,101
24  400 Oe,302,-13,26,5,9,69.8,289.1,-70.9,Fahrig et al. 1971,Baffin dikes,n,4,167,4,167,101
25  300 Oe,313,29,3,5,704,69.5,289.4,-70.6,Fahrig et al. 1971,Baffin dikes,n,29,162,29,162,101
26  250 Oe (Boothia),295,13,4,5,271,70.2,268.2,-91.8,Fahrig et al. 1971,Boothia and other dikes,r,15,157,15,157,101
27  250 Oe (Boothia),292,12,11,5,31,70.7,266.8,-93.2,Fahrig et al. 1971,Boothia and other dikes,r,13,157,13,157,101
28  250 Oe (Ungava),300,12,3,6,333,61.3,285,-75,Fahrig et al. 1971,Boothia and other dikes,r,19,171,19,171,101
"29  250 Oe (??Hardisty Lake, south of Great Bear??)",278,20,8,4,80,67.1,245.6,-114.4,Fahrig et al. 1971,Boothia and other dikes,n,13,153,13,153,101
"30  200 Oe (??Hardisty Lake, south of Great Bear??)",263,-3,16,3,26,67.1,245.6,-114.4,Fahrig et al. 1971,Boothia and other dikes,n,-4,163,-4,163,101
1  250 Oe,303,1,6.5,6,108,68.6,289,-71,Fahrig & Schwarz 1973,Baffin dikes,r,11.9374712,168.0009662,11.9374712,168.0009662,101
5  200 Oe,307,0,3.2,6,446,68.2,290,-70.1,Fahrig & Schwarz 1973,Baffin dikes,r,12.91437939,164.9708924,12.91437939,164.9708924,101
6  200 Oe,305,-16,15.9,5,24,68.1,290.5,-69.5,Fahrig & Schwarz 1973,Baffin dikes,r,4.622911975,164.9400119,4.622911975,164.9400119,101
8  200 Oe,306,-20,7.6,6,78,66.7,296.1,-63.9,Fahrig & Schwarz 1973,Baffin dikes,r,3.686444605,169.0009963,3.686444605,169.0009963,101
39  300 Oe,296,-7,8.5,4,119,66.8,297.2,-62.8,Fahrig & Schwarz 1973,Baffin dikes,r,6.685445513,181.7881934,6.685445513,181.7881934,101
40  250 Oe,302,-31,10.5,5,54,66.5,295.7,-64.3,Fahrig & Schwarz 1973,Baffin dikes,r,-3.525494042,170.1616303,-3.525494042,170.1616303,101
2  250 Oe,304,-9,15.8,4,35,68.3,292.3,-67.7,Fahrig & Schwarz 1973,Baffin dikes,n,7.62934459,168.794358,7.62934459,168.794358,101
3  250 Oe,300,-18,10.5,5,54,68,292,-68,Fahrig & Schwarz 1973,Baffin dikes,n,2.100377588,170.8031645,2.100377588,170.8031645,101
4  200 Oe,311,-4,9.6,4,92,68.5,290.7,-69.3,Fahrig & Schwarz 1973,Baffin dikes,n,11.99280787,161.1508368,11.99280787,161.1508368,101
38  200 Oe,306,-17,11.4,4,66,67.1,296.4,-63.6,Fahrig & Schwarz 1973,Baffin dikes,n,5.014793883,169.7983213,5.014793883,169.7983213,101
31 Melville Pen,291,-3,11.1,13,14.8,64.1,270.2,-89.8,Park 1974,Melville Pen,r,7.638257967,160.5245702,7.638257967,160.5245702,101
33 Melville Pen,291,-17,11.7,11,16.1,64.1,270.2,-89.8,Park 1974,Melville Pen,r,1.077573401,157.572151,1.077573401,157.572151,101
3D,262.7,-9.9,4.7,3,677,71.1,244.9,-115.1,Palmer & Hayatsu 1975,Victoria Island,r,-7.1,160.3,-7.1,160.3,101
4D,251.2,-10.1,15.7,3,62.4,71.1,244.9,-115.1,Palmer & Hayatsu 1975,Victoria Island,r,-10.8,171.3,-10.8,171.3,101
5L,260,-0.4,41,3,10.1,71.1,244.9,-115.1,Palmer & Hayatsu 1975,Victoria Island,r,-3.4,164.4,-3.4,164.4,101
6L,259.1,-12.3,38,3,11.6,71.1,244.9,-115.1,Palmer & Hayatsu 1975,Victoria Island,r,-9.4,163.3,-9.4,163.3,101
7L,246.3,2.7,57.6,3,5.7,71.1,244.9,-115.1,Palmer & Hayatsu 1975,Victoria Island,r,-6.2,178,-6.2,178,101
8L,273.4,-24.6,17.8,2,198,71.1,244.9,-115.1,Palmer & Hayatsu 1975,Victoria Island,r,-11.1,147.6,-11.1,147.6,101
10D,250.6,-12.4,24.4,3,26.6,71.1,245.1,-114.9,Palmer & Hayatsu 1975,Victoria Island,r,-12.1,171.5,-12.1,171.5,101
11D,258.2,-13.1,14.5,3,73.3,71.1,245,-115,Palmer & Hayatsu 1975,Victoria Island,r,-10.1,164.1,-10.1,164.1,101
12D,252.4,-17.8,12.9,3,92.7,71.2,245,-115,Palmer & Hayatsu 1975,Victoria Island,r,-14.3,168.8,-14.3,168.8,101
13L,267,-18.3,29.6,3,18.4,71.1,245,-115,Palmer & Hayatsu 1975,Victoria Island,r,-9.9,154.8,-9.9,154.8,101
14D,263.3,-0.6,10.6,3,136,70.7,242.3,-117.7,Palmer & Hayatsu 1975,Victoria Island,r,-2.5,158.5,-2.5,158.5,101
15D,258.8,-5.6,7.9,3,242,70.7,242.3,-117.7,Palmer & Hayatsu 1975,Victoria Island,r,-6.3,162,-6.3,162,101
16D,258,11.6,9,4,106,70.7,242.2,-117.8,Palmer & Hayatsu 1975,Victoria Island,r,1.6,165.5,1.6,165.5,101
17D,262.4,-3.1,8.9,7,47.2,70.7,242.2,-117.8,Palmer & Hayatsu 1975,Victoria Island,r,-4,159,-4,159,101
18D,266.7,-0.2,11.4,3,118,70.7,242.3,-117.7,Palmer & Hayatsu 1975,Victoria Island,r,-1.2,155.4,-1.2,155.4,101
19D,256.1,3.8,6.3,4,217,70.7,242.3,-117.7,Palmer & Hayatsu 1975,Victoria Island,r,-2.8,166.1,-2.8,166.1,101
1   R only,249,16,16.2,4,33,68.3,238.2,-121.8,Park 1981,Brock inlier,r,0,171,0,171,101
3   mixed,254,7,26,4,13,68.4,238.4,-121.6,Park 1981,Brock inlier,r,-2,165,-2,165,101
6   mixed,261,34,6.5,12,45,68.4,238.7,-121.3,Park 1981,Brock inlier,r,14,164,14,164,101
10  R only,245,-19,14.9,4,39,68.4,237.8,-122.2,Park 1981,Brock inlier,r,-18,168,-18,168,101
14  mixed,262,-4,7.5,9,48,68.4,238.8,-121.2,Park 1981,Brock inlier,r,-5,156,-5,156,101
50  450 Oe,314,4,14,6,25,72.9,276.8,-83.3,Christie & Fahrig 1983,NW Baffin (Borden basin),n,13.77444021,144.4974236,13.77444021,144.4974236,101
56  350 Oe,305,-15,12,6,34,72.8,276.4,-83.6,Christie & Fahrig 1983,NW Baffin (Borden basin),n,2.364666236,150.7497532,2.364666236,150.7497532,101
59  400 Oe,303,0,8,5,91,72.9,276.4,-83.7,Christie & Fahrig 1983,NW Baffin (Borden basin),n,9.241727215,154.5290595,9.241727215,154.5290595,101
61  500 Oe,311,13,8,8,47,73,276.5,-83.6,Christie & Fahrig 1983,NW Baffin (Borden basin),n,17.47020093,148.2619655,17.47020093,148.2619655,101
03/7922/7923/7924,296.8,2.3,,21,,73.1,274.6,-85.4,Christie & Fahrig 1983,NW Baffin (Borden basin),r,8.663254733,159.1159546,8.663254733,159.1159546,101
46  200 Oe,298,-1,8,6,81,72.5,278.1,-81.9,Christie & Fahrig 1983,NW Baffin (Borden basin),r,7.656693463,161.0810948,7.656693463,161.0810948,101
48  500 Oe,314,-9,12,7,28,72.7,277.8,-82.2,Christie & Fahrig 1983,NW Baffin (Borden basin),r,7.501697995,144.1263932,7.501697995,144.1263932,101
67  300 Oe,303,-9,12,5,39,72.5,276.1,-84,Christie & Fahrig 1983,NW Baffin (Borden basin),r,5.047047669,153.1170355,5.047047669,153.1170355,101
7917/7920,310.8,-0.3,,11,,72.4,278.2,-81.9,Christie & Fahrig 1983,NW Baffin (Borden basin),r,11.28110334,148.6753816,11.28110334,148.6753816,101
19 anchor,278,1,5.2,5,216,71.9,247.6,-112.4,Palmer et al. 1983,Natkusiak middle+upper polarity zones,r,2.960331569,150.1478641,2.960331569,150.1478641,101
18 anchor,265,1,6,6,124,71.9,247.6,-112.4,Palmer et al. 1983,Natkusiak middle+upper polarity zones,r,-1.080405345,162.5076454,-1.080405345,162.5076454,101
17 anchor,265,7,4.3,5,323,71.9,247.6,-112.4,Palmer et al. 1983,Natkusiak middle+upper polarity zones,r,1.783879126,163.442893,1.783879126,163.442893,101
16 anchor,267,18,4,6,276,71.9,247.6,-112.4,Palmer et al. 1983,Natkusiak middle+upper polarity zones,r,7.833034399,163.3376414,7.833034399,163.3376414,101
15 anchor,271,-6,15.1,4,38,71.9,247.6,-112.4,Palmer et al. 1983,Natkusiak middle+upper polarity zones,r,-2.547034581,155.7122513,-2.547034581,155.7122513,101
